institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,total_graduating,total_placed,total_higher_studies,placement_rate_pct,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc,matched_journal_docs,quartile_match_rate_pct,pct_q1,pct_q2,pct_q3,pct_q4
IR-O-U-0329,2025,Symbiosis International,Pune,Maharashtra,73.49,38.34,72.97,64.00,46.23,59.16,24,1530,21816,14.26,6244,3942,195,63.1,1064,207,272,150990542,3981,13115,3.29,2416,60.7,33.0,27.4,21.4,18.2
IR-O-U-0331,2021,Tata Institute of Social Sciences,Mumbai,Maharashtra,61.20,12.32,77.33,72.28,36.09,48.37,37,267,3163,11.85,1551,549,108,35.4,254,612,355,504087032,282,2873,10.19,187,66.3,43.3,30.5,19.8,6.4
IR-O-U-0331,2022,Tata Institute of Social Sciences,Mumbai,Maharashtra,56.66,10.45,78.36,75.42,38.23,47.16,60,434,4566,10.52,1485,879,171,59.2,440,386,388,293380071,288,2002,6.95,205,71.2,37.6,36.6,12.7,13.2
IR-O-U-0331,2023,Tata Institute of Social Sciences,Mumbai,Maharashtra,47.63,10.67,75.14,68.68,36.40,43.03,98,422,6251,14.81,1249,884,174,70.8,530,386,392,315287303,272,1530,5.62,212,77.9,44.3,33.0,14.2,8.5
IR-O-U-0331,2024,Tata Institute of Social Sciences,Mumbai,Maharashtra,66.96,15.83,71.49,72.19,38.37,50.20,58,275,3234,11.76,1206,872,179,72.3,563,0,370,316713386,277,1233,4.45,191,69.0,45.5,25.7,15.7,13.1
IR-O-U-0331,2025,Tata Institute of Social Sciences,Mumbai,Maharashtra,68.46,16.42,70.12,73.58,30.39,49.89,72,275,3392,12.33,1444,1015,392,70.3,346,193,261,330273724,240,451,1.88,172,71.7,51.2,21.5,15.7,11.6
IR-O-U-0056,2021,Tezpur University,Tezpur,Assam,58.32,30.02,61.65,52.17,32.14,47.27,46,291,3475,11.94,998,259,179,26.0,590,115,334,238237334,570,9328,16.36,459,80.5,37.0,31.6,15.3,16.1
IR-O-U-0056,2022,Tezpur University,Tezpur,Assam,59.71,27.49,63.29,50.67,35.88,47.48,59,275,3494,12.71,998,179,90,17.9,709,103,306,130324432,664,10208,15.37,502,75.6,40.0,37.5,11.6,11.0
IR-O-U-0056,2023,Tezpur University,Tezpur,Assam,56.40,28.70,64.99,51.52,30.17,46.70,69,293,3581,12.22,1278,271,136,21.2,796,109,253,112171912,691,8424,12.19,517,74.8,37.3,39.1,14.3,9.3
IR-O-U-0056,2024,Tezpur University,Tezpur,Assam,62.22,28.05,68.97,51.86,29.47,49.01,69,306,3602,11.77,959,236,195,24.6,795,141,108,163962763,803,6498,8.09,619,77.1,40.5,37.3,12.4,9.7
IR-O-U-0056,2025,Tezpur University,Tezpur,Assam,60.26,30.22,69.73,51.71,30.39,49.31,79,322,3718,11.55,960,169,189,17.6,957,50,120,127072210,880,3049,3.46,692,78.6,37.9,36.3,14.6,11.3
IR-O-I-1480,2021,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,50.44,42.26,67.30,56.35,37.52,50.65,26,555,8212,14.8,1661,1106,182,66.6,561,199,56,93013000,227,5852,25.78,196,86.3,49.5,34.7,10.2,5.6
IR-O-I-1480,2022,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,49.86,44.83,70.57,55.09,35.34,51.56,31,566,8959,15.83,1690,1207,190,71.4,563,147,66,84804000,218,3916,17.96,184,84.4,39.1,40.8,14.7,5.4
IR-O-I-1480,2023,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,62.01,49.73,72.17,64.05,29.71,57.32,22,728,10301,14.15,1752,1470,186,83.9,562,133,52,103620000,228,3897,17.09,195,85.5,48.7,39.5,9.7,2.1
IR-O-I-1480,2024,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,65.00,43.36,71.19,63.83,35.91,56.72,29,752,10465,13.92,2876,2334,288,81.2,528,132,44,108490000,211,2324,11.01,179,84.8,51.4,29.1,12.8,6.7
IR-O-I-1480,2025,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,68.42,45.12,72.16,65.69,37.95,58.87,26,788,11124,14.12,2647,2038,249,77.0,482,45,43,340729000,298,1386,4.65,222,74.5,50.9,34.7,10.4,4.1
IR-O-U-0120,2021,University of Delhi,Delhi,Delhi,42.65,54.23,82.66,59.60,55.37,57.09,12,1060,21615,20.39,7568,1038,1202,13.7,3700,0,341,500736706,3303,64550,19.54,2407,72.9,38.3,32.1,19.9,9.7
IR-O-U-0120,2022,University of Delhi,Delhi,Delhi,43.11,52.82,91.85,58.87,56.15,58.66,13,1135,23819,20.99,9905,1225,832,12.4,3652,0,434,559389437,3592,50692,14.11,2759,76.8,34.0,32.4,21.7,11.9
