institute_id,nirf_name,af_id,af_name,city,country,doc_count,confirmed
IR-O-U-0366,Utkal University,,NOT FOUND -- search manually,,,,
IR-O-U-0555,Graphic Era University,,NOT FOUND -- search manually,,,,
IR-O-U-0451,Chettinad Academy of Research and Education,,NOT FOUND -- search manually,,,,
IR-O-U-0043,"Vignan's Foundation for Science, Technology and Research",,NOT FOUND -- search manually,,,,
IR-O-U-0747,Chandigarh University,,NOT FOUND -- search manually,,,,
IR-O-U-0498,Babasaheb Bhimrao Ambedkar University,,NOT FOUND -- search manually,,,,
IR-O-U-0147,Pandit Deendayal Petroleum University,,NOT FOUND -- search manually,,,,
IR-O-U-0444,Avinashilingam Institute for Home Science and Higher Education for Women,,NOT FOUND -- search manually,,,,
IR-O-U-0190,Shoolini University of Biotechnology and Management Sciences,,NOT FOUND -- search manually,,,,
IR-O-U-0143,Maharaja Sayajirao University of Baroda,,NOT FOUND -- search manually,,,,
IR-O-U-0744,Ashoka University,,NOT FOUND -- search manually,,,,
IR-O-U-0564,University of Petroleum and Energy Studies,,NOT FOUND -- search manually,,,,
IR-O-U-0217,Christ University,,NOT FOUND -- search manually,,,,
IR-O-U-0311,"Krishna Institute of Medical Sciences Deemed University, Karad",,NOT FOUND -- search manually,,,,
IR-O-U-0449,Central University of Tamil Nadu,,NOT FOUND -- search manually,,,,
IR-O-U-0461,Dr. M. G. R. Educational and Research Institute,,NOT FOUND -- search manually,,,,
IR-O-U-0541,Sharda University,,NOT FOUND -- search manually,,,,
IR-O-U-0248,"University of Agricultural Sciences, Bangalore",,NOT FOUND -- search manually,,,,
IR-O-U-0155,"Amity University Haryana, Gurgaon",,NOT FOUND -- search manually,,,,
IR-O-C-6379,Netaji Subhas University of Technology (NSUT),,NOT FOUND -- search manually,,,,
IR-O-U-0003,Acharya Nagarjuna University,,NOT FOUND -- search manually,,,,
IR-O-U-0749,"Manipal University, Jaipur",,NOT FOUND -- search manually,,,,
IR-O-U-0384,Sant Longowal Institute of Engineering and Technology,,NOT FOUND -- search manually,,,,
IR-O-U-0373,Chitkara  University,,NOT FOUND -- search manually,,,,
IR-O-U-0169,Manav Rachna International Institute of Research and Studies,,NOT FOUND -- search manually,,,,
IR-O-U-0739,Madan Mohan Malaviya University of Technology,,NOT FOUND -- search manually,,,,
IR-O-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,,NOT FOUND -- search manually,,,,
IR-O-U-0524,University of Lucknow,,NOT FOUND -- search manually,,,,
IR-O-U-0101,Indian Agricultural Research Institute,,NOT FOUND -- search manually,,,,
IR-O-U-0200,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,,NOT FOUND -- search manually,,,,
IR-O-U-0017,Jawaharlal Nehru Technological University,,NOT FOUND -- search manually,,,,
IR-O-U-0392,Central University of Rajasthan,,NOT FOUND -- search manually,,,,
IR-O-U-0105,Indraprastha Institute of Information Technology,,NOT FOUND -- search manually,,,,
