year,institute_id,name,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,pdf_url,faculty_count,total_student_strength,student_strength_breakdown,phd_fulltime_current,phd_parttime_current,phd_graduated_fulltime_y1,phd_graduated_parttime_y1,phd_graduated_fulltime_y2,phd_graduated_parttime_y2,phd_graduated_fulltime_y3,phd_graduated_parttime_y3,sponsored_projects_y1,sponsored_projects_y2,sponsored_projects_y3,sponsored_funding_agencies_y1,sponsored_funding_agencies_y2,sponsored_funding_agencies_y3,sponsored_amount_y1,sponsored_amount_y2,sponsored_amount_y3,parse_status,faculty_section_raw
2024,IR-O-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,71.11,17.53,72.49,55.10,4.34,47.03,84,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0485.pdf,934,8176,"{""UG [4 Years Program(s)]"": 7294, ""PG [2 Year Program(s)]"": 882}",451,0,207,7,117,8,155,0,490,483,262,54,32,33,909105617,882923878,953966527,ok,Number of faculty members entered 934
2024,IR-O-U-0384,Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,63.34,22.96,61.64,65.28,21.46,46.90,85,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0384.pdf,170,2196,"{""UG [4 Years Program(s)]"": 2018, ""PG [2 Year Program(s)]"": 178}",129,65,29,12,17,14,14,19,5,6,6,4,5,5,3352626,2904405,6749666,ok,Number of faculty members entered 170
2024,IR-O-U-0541,Sharda University,Greater Noida,Uttar Pradesh,57.93,28.97,57.15,66.58,27.16,46.88,86,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0541.pdf,953,13739,"{""UG [3 Years Program(s)]"": 3546, ""UG [4 Years Program(s)]"": 5003, ""UG [5 Years Program(s)]"": 3001, ""PG [1 Year Program(s)]"": 30, ""PG [2 Year Program(s)]"": 1715, ""PG [3 Year Program(s)]"": 317, ""PG-Integrated"": 127}",542,612,22,16,18,11,10,16,40,43,51,30,21,28,48130752,21045247,11858178,ok,Number of faculty members entered 953
2024,IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,65.47,13.14,74.82,55.82,25.31,46.65,87,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0037.pdf,444,6436,"{""UG [4 Years Program(s)]"": 1870, ""UG [5 Years Program(s)]"": 208, ""PG [2 Year Program(s)]"": 4358}",459,373,113,76,132,66,98,84,12,26,35,10,15,16,114861147,99628353,156144533,ok,Number of faculty members entered 444
2024,IR-O-U-0554,G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,64.72,25.52,69.85,51.25,4.63,46.64,88,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0554.pdf,363,3877,"{""UG [4 Years Program(s)]"": 2886, ""UG [5 Years Program(s)]"": 346, ""PG [2 Year Program(s)]"": 645}",495,0,105,0,138,0,97,0,128,123,114,26,19,16,470063887,410381396,454385649,ok,Number of faculty members entered 363
2024,IR-O-U-0251,Calicut University,Malappuram,Kerala,70.50,16.09,62.44,57.31,24.33,46.63,89,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0251.pdf,264,2303,"{""UG [3 Years Program(s)]"": 173, ""PG [1 Year Program(s)]"": 42, ""PG [2 Year Program(s)]"": 1904, ""PG [3 Year Program(s)]"": 39, ""PG-Integrated"": 145}",619,98,50,29,46,40,70,54,25,15,11,9,15,4,23034970,12832742,3584446,ok,Number of faculty members entered 264
2024,IR-O-U-0248,University of Agricultural Sciences,Bengaluru,Karnataka,73.06,10.65,75.63,58.77,3.46,46.47,90,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0248.pdf,443,4574,"{""UG [4 Years Program(s)]"": 3799, ""PG [2 Year Program(s)]"": 775}",324,0,105,0,197,0,70,4,198,181,184,79,24,23,753028972,796071221,654254081,ok,Number of faculty members entered 443
2024,IR-O-U-0373,Chitkara University,Rajpura,Punjab,47.70,35.49,58.54,64.90,33.12,46.47,90,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0373.pdf,971,16745,"{""UG [3 Years Program(s)]"": 3305, ""UG [4 Years Program(s)]"": 10316, ""UG [5 Years Program(s)]"": 671, ""PG [2 Year Program(s)]"": 2276, ""PG [3 Year Program(s)]"": 29, ""PG [6 Year Program(s)]"": 148}",526,457,61,37,9,48,14,33,19,72,38,12,58,33,69588064,222517264,154449514,ok,Number of faculty members entered 971
2024,IR-O-U-0169,Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,65.41,10.20,66.40,68.20,36.83,46.46,92,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0169.pdf,448,5591,"{""UG [3 Years Program(s)]"": 1988, ""UG [4 Years Program(s)]"": 2378, ""UG [5 Years Program(s)]"": 429, ""PG [2 Year Program(s)]"": 745, ""PG [3 Year Program(s)]"": 51}",253,249,51,11,45,6,16,27,100,86,116,10,7,9,28288401,9662000,19641000,ok,Number of faculty members entered 448
2024,IR-O-U-0464,"Manonmaniam Sundaranar University, Tirunelveli",Tirunelveli,Tamil Nadu,61.87,24.49,67.18,50.32,19.63,46.34,93,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0464.pdf,228,2397,"{""PG [2 Year Program(s)]"": 1479, ""PG-Integrated"": 918}",296,135,57,63,73,37,38,25,8,19,9,7,7,6,54725809,37571445,10743414,ok,Number of faculty members entered 228
