institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc
IR-O-U-0523,2025,King George`s Medical University,Lucknow,Uttar Pradesh,75.27,30.37,62.46,60.52,28.98,53.13,50,379,3117,8.22,83,0,339,678623759,616,6985,11.34
IR-O-U-0020,2021,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,58.89,30.78,64.62,55.99,31.52,48.57,35,1085,14891,13.72,196,888,112,68305541,1218,15679,12.87
IR-O-U-0020,2022,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,61.22,36.63,67.04,56.83,38.82,52.33,27,1024,13951,13.62,266,609,142,74066000,1726,20264,11.74
IR-O-U-0020,2023,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,62.02,40.74,69.49,57.63,40.28,54.52,28,971,13624,14.03,369,443,159,76184000,2613,27937,10.69
IR-O-U-0020,2024,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,67.87,41.54,71.78,66.48,41.47,57.98,22,988,13824,13.99,449,443,234,103573102,3180,28284,8.89
IR-O-U-0020,2025,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,69.03,45.33,73.12,66.74,32.72,58.87,26,985,13860,14.07,545,474,279,112408000,3334,13051,3.91
IR-O-U-0379,2021,Lovely Professional University,Phagwara,Punjab,47.55,27.51,63.87,65.97,14.49,43.33,62,2129,31526,14.81,544,1792,116,43175836,2025,49572,24.48
IR-O-U-0379,2022,Lovely Professional University,Phagwara,Punjab,56.40,34.71,66.11,69.33,14.40,48.92,47,2371,32833,13.85,620,1543,52,61513482,2592,54219,20.92
IR-O-U-0379,2023,Lovely Professional University,Phagwara,Punjab,55.92,44.38,66.06,68.34,21.65,52.30,38,2226,31208,14.02,770,1353,176,49634900,4091,66182,16.18
IR-O-U-0379,2024,Lovely Professional University,Phagwara,Punjab,57.10,49.75,66.63,69.81,45.47,56.92,27,1926,34871,18.11,731,1171,1014,2223000,5000,62924,12.58
IR-O-U-0379,2025,Lovely Professional University,Phagwara,Punjab,58.10,49.40,69.31,69.89,46.72,57.77,31,2088,35676,17.09,899,1125,62,2119529,5000,24882,4.98
IR-O-U-0463,2021,Madurai Kamaraj University,Madurai,Tamil Nadu,61.71,24.77,57.68,48.43,10.04,43.32,63,232,1444,6.22,598,721,53,70263777,325,5169,15.9
IR-O-U-0463,2022,Madurai Kamaraj University,Madurai,Tamil Nadu,63.33,24.04,65.24,52.47,38.82,48.39,52,247,1754,7.1,329,1040,166,196749081,352,5566,15.81
IR-O-U-0463,2023,Madurai Kamaraj University,Madurai,Tamil Nadu,63.47,24.45,68.37,51.80,37.31,48.95,53,211,1819,8.62,316,918,56,213147960,399,5692,14.27
IR-O-U-0463,2024,Madurai Kamaraj University,Madurai,Tamil Nadu,65.77,23.35,72.56,50.89,33.76,49.72,63,207,1870,9.03,334,770,112,136953582,427,3830,8.97
IR-O-U-0463,2025,Madurai Kamaraj University,Madurai,Tamil Nadu,63.91,23.79,70.90,49.62,36.16,49.07,85,183,1878,10.26,342,811,78,172409523,504,1750,3.47
IR-O-U-0262,2021,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,59.27,34.73,68.77,52.55,20.97,49.30,31,135,1137,8.42,367,128,91,983212544,546,20743,37.99
IR-O-U-0262,2022,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,65.16,36.16,70.48,51.18,19.92,51.61,30,146,1197,8.2,443,225,77,1350746799,1,18,18.0
IR-O-U-0262,2023,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,65.63,38.86,73.44,51.23,22.75,53.44,31,160,1307,8.17,378,184,76,1399179447,1,1,1.0
IR-O-U-0262,2024,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,71.36,37.27,70.97,51.09,32.86,55.18,37,186,1497,8.05,346,187,185,1515973524,2,4,2.0
IR-O-U-0262,2025,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,71.20,34.03,71.68,54.33,32.72,54.61,43,220,1751,7.96,506,323,156,2034207991,1,0,0.0
IR-O-U-0234,2021,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,67.68,48.17,76.05,65.25,40.93,60.58,7,2661,23443,8.81,1035,51,407,264444975,2660,62817,23.62
IR-O-U-0234,2022,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,70.53,51.07,78.15,64.81,42.46,62.84,7,2617,23719,9.06,1147,62,383,232544804,3298,65118,19.74
IR-O-U-0234,2023,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,72.87,54.02,77.97,66.10,47.08,64.98,6,2740,23776,8.68,1159,381,356,318223448,3559,57352,16.11
IR-O-U-0234,2024,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,78.11,55.94,77.34,67.33,47.74,67.18,4,2854,24376,8.54,1691,657,385,350126083,4823,70742,14.67
