year,institute_id,name,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,phd_fulltime_current,phd_parttime_current,phd_graduated_fulltime_y1,phd_graduated_parttime_y1,phd_graduated_fulltime_y2,phd_graduated_parttime_y2,phd_graduated_fulltime_y3,phd_graduated_parttime_y3,sponsored_projects_y1,sponsored_projects_y2,sponsored_projects_y3,sponsored_funding_agencies_y1,sponsored_funding_agencies_y2,sponsored_funding_agencies_y3,sponsored_amount_y1,sponsored_amount_y2,sponsored_amount_y3,pdf_url,parse_status,faculty_section_raw
,,,,,,,,,,,,661,960,0,248,0,267,0,282,0,37,47,34,16,27,13,253556894,177131576,142426404,,ok,Number of faculty members entered 661
,,,,,,,,,,,,1085,196,888,38,90,22,51,22,26,112,85,299,13,10,12,68305541,73697000,40227628,,ok,Number of faculty members entered 1085
,,,,,,,,,,,,267,254,612,139,36,176,0,154,0,355,535,293,208,268,181,504087032,492071644,354820672,,ok,Number of faculty members entered 267
,,,,,,,,,,,,1255,314,576,38,10,41,6,1,17,101,74,40,55,45,20,55389561,26187408,20021110,,ok,Number of faculty members entered 1255
,,,,,,,,,,,,434,50,0,14,0,16,0,20,0,250,265,243,58,63,61,229200000,262000000,217600000,,ok,Number of faculty members entered 434
,,,,,,,,,,,,1055,295,737,26,108,31,81,29,56,131,120,112,62,56,51,182085960,168475350,156535360,,ok,Number of faculty members entered 1055
,,,,,,,,,,,,473,591,0,59,0,61,0,84,0,66,103,55,33,12,16,132475101,565086044,278851995,,ok,Number of faculty members entered 473
,,,,,,,,,,,,823,557,596,35,43,30,30,45,26,104,396,505,15,15,11,81000000,74700000,43759525,,ok,Number of faculty members entered 823
,,,,,,,,,,,,381,1375,98,216,4,206,2,241,4,51,45,41,18,16,13,1334792506,1334581463,422263068,,ok,Number of faculty members entered 381
,,,,,,,,,,,,208,551,326,78,72,77,97,64,84,120,137,121,23,24,24,224007539,131896342,195106185,,ok,Number of faculty members entered 208
,,,,,,,,,,,,380,1889,1079,344,159,349,141,105,256,96,81,68,27,25,16,375737442,183956382,144463289,,ok,Number of faculty members entered 380
,,,,,,,,,,,,291,590,115,48,32,41,23,50,37,334,302,339,33,27,37,238237334,274143843,212670942,,ok,Number of faculty members entered 291
,,,,,,,,,,,,747,209,103,11,20,38,19,48,8,82,47,35,24,33,18,143941830,122136023,99700636,,ok,Number of faculty members entered 747
,,,,,,,,,,,,552,1221,33,144,0,152,8,160,12,84,95,64,28,23,22,364048918,182753177,150327513,,ok,Number of faculty members entered 552
,,,,,,,,,,,,651,174,0,19,0,25,0,12,0,82,78,63,24,21,13,63182056,24880853,36870698,,ok,Number of faculty members entered 651
,,,,,,,,,,,,526,303,137,83,25,7,13,4,26,199,164,93,138,121,65,130627830,93203635,47308347,,ok,Number of faculty members entered 526
,,,,,,,,,,,,1338,287,1055,84,158,37,72,27,21,33,5,4,9,4,3,2090766,275000,256000,,ok,Number of faculty members entered 1338
,,,,,,,,,,,,1852,363,684,31,51,19,29,8,17,57,42,45,42,27,28,476278730,294593120,106464000,,ok,Number of faculty members entered 1852
,,,,,,,,,,,,594,656,430,112,29,133,46,173,52,53,61,73,10,14,12,45204027,94805600,60402829,,ok,Number of faculty members entered 594
,,,,,,,,,,,,510,463,335,156,76,217,129,237,156,15,34,21,10,15,12,99856425,531494273,286546578,,ok,Number of faculty members entered 510
,,,,,,,,,,,,574,263,0,20,0,19,0,14,6,30,54,54,21,28,46,18360100,19717131,27016866,,ok,Number of faculty members entered 574
,,,,,,,,,,,,243,228,3,24,0,20,0,16,0,56,56,55,8,13,14,48300000,64418309,45520249,,ok,Number of faculty members entered 243
,,,,,,,,,,,,259,461,266,73,48,89,45,108,34,55,65,38,24,16,16,156209883,122497760,47315599,,ok,Number of faculty members entered 259
,,,,,,,,,,,,339,1565,262,206,19,265,70,338,18,47,61,32,12,12,9,91337282,112829953,56644930,,ok,Number of faculty members entered 339
