institute_id,year,total_documents,total_citations,avg_citations_per_doc,note
IR-O-U-0376,2023,750,12024,16.03,
IR-O-U-0376,2024,769,20857,27.12,
IR-O-U-0376,2025,747,4181,5.6,
IR-O-U-0329,2021,651,19754,30.34,
IR-O-U-0329,2022,969,22837,23.57,
IR-O-U-0329,2023,1908,31778,16.66,
IR-O-U-0329,2024,2877,25816,8.97,
IR-O-U-0329,2025,3981,13115,3.29,
IR-O-N-10,2021,0,0,0,
IR-O-N-10,2022,0,0,0,
IR-O-N-10,2023,0,0,0,
IR-O-N-10,2024,0,0,0,
IR-O-N-10,2025,0,0,0,
IR-O-U-0497,2021,3961,73992,18.68,
IR-O-U-0497,2022,3375,59037,17.49,only 3375/4581 retrieved (ceiling or partial failure)
IR-O-U-0497,2023,5000,71967,14.39,only 5000/5219 retrieved (ceiling or partial failure)
IR-O-U-0497,2024,5000,59090,11.82,only 5000/6838 retrieved (ceiling or partial failure)
IR-O-U-0497,2025,5000,22195,4.44,only 5000/7581 retrieved (ceiling or partial failure)
IR-O-U-0202,2021,305,3726,12.22,
IR-O-U-0202,2022,273,4963,18.18,
IR-O-U-0202,2023,268,3540,13.21,
IR-O-U-0202,2024,357,3628,10.16,
IR-O-U-0202,2025,387,1278,3.3,
IR-O-U-0448,2021,845,16443,19.46,
IR-O-U-0448,2022,984,13952,14.18,
IR-O-U-0448,2023,1072,11273,10.52,
IR-O-U-0448,2024,1244,10512,8.45,
IR-O-U-0448,2025,1218,4455,3.66,
IR-O-U-0389,2021,364,6557,18.01,
IR-O-U-0389,2022,476,7791,16.37,
IR-O-U-0389,2023,542,7277,13.43,
IR-O-U-0389,2024,636,5851,9.2,
IR-O-U-0389,2025,754,3448,4.57,
IR-O-I-1361,2021,134,1670,12.46,
IR-O-I-1361,2022,252,2338,9.28,
IR-O-I-1361,2023,471,3361,7.14,
IR-O-I-1361,2024,648,3569,5.51,
IR-O-I-1361,2025,714,1411,1.98,
IR-O-U-0159,2021,207,5736,27.71,
IR-O-U-0159,2022,251,4851,19.33,
IR-O-U-0159,2023,257,3277,12.75,
IR-O-U-0159,2024,297,2602,8.76,
IR-O-U-0159,2025,248,1091,4.4,
IR-O-U-0253,2021,738,11415,15.47,
IR-O-U-0253,2022,801,10550,13.17,
IR-O-U-0253,2023,733,5974,8.15,
IR-O-U-0253,2024,896,5425,6.05,
IR-O-U-0253,2025,911,2414,2.65,
IR-O-U-0099,2021,406,7855,19.35,
IR-O-U-0099,2022,386,7077,18.33,
IR-O-U-0099,2023,464,4253,9.17,
IR-O-U-0099,2024,519,4894,9.43,
IR-O-U-0099,2025,517,1532,2.96,
IR-O-U-0123,2021,116,1269,10.94,
IR-O-U-0123,2022,109,1644,15.08,
IR-O-U-0123,2023,142,1085,7.64,
IR-O-U-0123,2024,146,845,5.79,
IR-O-U-0123,2025,117,302,2.58,
IR-O-U-0470,2021,416,10284,24.72,
IR-O-U-0470,2022,504,8640,17.14,
IR-O-U-0470,2023,432,5783,13.39,
IR-O-U-0470,2024,468,4719,10.08,
IR-O-U-0470,2025,451,1980,4.39,
