institute_id,year,total_documents_all_types,matched_journal_docs,match_rate_pct,pct_q1,pct_q2,pct_q3,pct_q4
IR-O-U-0003,2025,302,253,83.8,13.0,21.7,32.0,33.2
IR-O-U-0006,2021,623,486,78.0,19.5,25.7,23.9,30.9
IR-O-U-0006,2022,665,573,86.2,14.1,33.0,27.1,25.8
IR-O-U-0006,2023,691,554,80.2,17.3,26.9,30.7,25.1
IR-O-U-0006,2024,712,562,78.9,19.9,30.1,24.4,25.6
IR-O-U-0006,2025,710,574,80.8,20.0,25.6,25.6,28.7
IR-O-U-0011,2021,26,14,53.8,50.0,28.6,0.0,21.4
IR-O-U-0011,2022,45,37,82.2,40.5,27.0,21.6,10.8
IR-O-U-0011,2023,76,60,78.9,50.0,28.3,15.0,6.7
IR-O-U-0011,2024,84,65,77.4,43.1,24.6,18.5,13.8
IR-O-U-0011,2025,79,66,83.5,37.9,34.8,18.2,9.1
IR-O-U-0014,2021,78,40,51.3,50.0,35.0,5.0,10.0
IR-O-U-0014,2022,60,38,63.3,52.6,18.4,18.4,10.5
IR-O-U-0014,2023,61,38,62.3,55.3,36.8,5.3,2.6
IR-O-U-0014,2024,90,64,71.1,48.4,42.2,7.8,1.6
IR-O-U-0014,2025,84,56,66.7,51.8,35.7,3.6,8.9
IR-O-U-0017,2021,63,48,76.2,18.8,33.3,12.5,35.4
IR-O-U-0017,2022,86,75,87.2,13.3,32.0,28.0,26.7
IR-O-U-0017,2023,76,62,81.6,11.3,29.0,30.6,29.0
IR-O-U-0017,2024,65,52,80.0,19.2,40.4,17.3,23.1
IR-O-U-0017,2025,63,53,84.1,20.8,34.0,17.0,28.3
IR-O-U-0020,2021,1218,676,55.5,14.5,28.7,28.4,28.4
IR-O-U-0020,2022,1726,1190,68.9,16.2,33.5,26.6,23.7
IR-O-U-0020,2023,2613,1417,54.2,22.1,29.7,23.0,25.2
IR-O-U-0020,2024,3180,2104,66.2,27.1,25.8,26.3,20.8
IR-O-U-0020,2025,3334,2189,65.7,24.9,26.7,25.6,22.8
IR-O-U-0027,2021,575,423,73.6,21.5,32.6,27.4,18.4
IR-O-U-0027,2022,762,595,78.1,19.5,35.3,25.0,20.2
IR-O-U-0027,2023,840,618,73.6,16.3,29.9,29.4,24.3
IR-O-U-0027,2024,800,617,77.1,17.2,27.2,29.2,26.4
IR-O-U-0027,2025,758,565,74.5,23.4,29.6,25.0,22.1
IR-O-U-0035,2021,102,90,88.2,43.3,33.3,15.6,7.8
IR-O-U-0035,2022,93,86,92.5,38.4,39.5,15.1,7.0
IR-O-U-0035,2023,82,73,89.0,34.2,39.7,17.8,8.2
IR-O-U-0035,2024,103,79,76.7,31.6,31.6,17.7,19.0
IR-O-U-0035,2025,87,72,82.8,47.2,36.1,11.1,5.6
IR-O-U-0036,2021,45,40,88.9,35.0,22.5,27.5,15.0
IR-O-U-0036,2022,41,38,92.7,21.1,21.1,36.8,21.1
IR-O-U-0036,2023,37,34,91.9,23.5,26.5,32.4,17.6
IR-O-U-0036,2024,40,31,77.5,9.7,22.6,41.9,25.8
IR-O-U-0036,2025,37,36,97.3,22.2,27.8,36.1,13.9
IR-O-U-0037,2021,199,163,81.9,25.8,39.9,19.0,15.3
IR-O-U-0037,2022,192,142,74.0,28.2,35.9,25.4,10.6
IR-O-U-0037,2023,214,142,66.4,24.6,35.9,20.4,19.0
IR-O-U-0037,2024,194,143,73.7,24.5,28.0,21.7,25.9
IR-O-U-0037,2025,213,152,71.4,21.1,27.6,24.3,27.0
IR-O-U-0042,2021,1097,900,82.0,50.3,33.7,9.9,6.1
IR-O-U-0042,2022,1123,908,80.9,48.5,35.8,9.3,6.5
IR-O-U-0042,2023,1177,967,82.2,45.7,37.8,11.0,5.5
IR-O-U-0042,2024,1142,929,81.3,49.3,28.8,12.8,9.0
IR-O-U-0042,2025,1151,956,83.1,44.2,34.1,14.2,7.4
IR-O-U-0043,2021,13,11,84.6,0.0,36.4,45.5,18.2
IR-O-U-0043,2022,13,13,100.0,7.7,38.5,38.5,15.4
IR-O-U-0043,2023,6,6,100.0,16.7,16.7,66.7,0.0
IR-O-U-0043,2024,12,11,91.7,9.1,54.5,27.3,9.1
IR-O-U-0043,2025,5,4,80.0,0.0,75.0,0.0,25.0
IR-O-U-0047,2024,1,0,0.0,,,,
IR-O-U-0047,2025,1,0,0.0,,,,
IR-O-U-0050,2021,390,315,80.8,39.7,25.1,22.9,12.4
IR-O-U-0050,2022,415,334,80.5,31.7,31.4,23.1,13.8
IR-O-U-0050,2023,419,307,73.3,33.6,26.1,24.4,16.0
IR-O-U-0050,2024,448,321,71.7,34.0,24.3,25.9,15.9
IR-O-U-0050,2025,546,401,73.4,37.4,26.9,24.2,11.5
IR-O-U-0051,2021,281,219,77.9,24.7,31.5,26.5,17.4
IR-O-U-0051,2022,370,279,75.4,27.2,36.9,21.1,14.7
IR-O-U-0051,2023,369,293,79.4,29.4,28.7,23.9,18.1
IR-O-U-0051,2024,426,324,76.1,32.4,28.4,26.2,13.0
IR-O-U-0051,2025,539,418,77.6,33.0,35.2,23.0,8.9
IR-O-U-0052,2021,526,405,77.0,35.1,28.6,19.3,17.0
IR-O-U-0052,2022,615,520,84.6,28.3,31.2,23.7,16.9
IR-O-U-0052,2023,723,580,80.2,31.7,32.2,20.0,16.0
IR-O-U-0052,2024,779,653,83.8,29.6,27.9,30.5,12.1
IR-O-U-0052,2025,829,692,83.5,29.8,29.8,28.6,11.8
IR-O-U-0056,2021,570,459,80.5,37.0,31.6,15.3,16.1
IR-O-U-0056,2022,664,502,75.6,40.0,37.5,11.6,11.0
IR-O-U-0056,2023,691,517,74.8,37.3,39.1,14.3,9.3
IR-O-U-0056,2024,803,619,77.1,40.5,37.3,12.4,9.7
IR-O-U-0056,2025,880,692,78.6,37.9,36.3,14.6,11.3
IR-O-U-0078,2021,1647,1244,75.5,47.1,31.8,13.3,7.8
IR-O-U-0078,2022,1733,1368,78.9,44.1,35.7,11.3,9.0
IR-O-U-0078,2023,1762,1353,76.8,44.3,33.9,14.1,7.7
IR-O-U-0078,2024,1728,1333,77.1,49.4,30.8,11.7,8.2
IR-O-U-0078,2025,1709,1362,79.7,44.7,32.7,14.3,8.2
IR-O-U-0098,2021,1674,968,57.8,26.2,28.2,16.8,28.7
IR-O-U-0098,2022,1853,1174,63.4,26.0,36.3,18.3,19.4
IR-O-U-0098,2023,1947,1211,62.2,29.1,33.4,15.9,21.6
IR-O-U-0098,2024,1758,1210,68.8,29.0,39.2,17.0,14.8
IR-O-U-0098,2025,1644,1139,69.3,29.9,37.3,16.9,15.9
